url_path,views_total,views_unique
/SERVIR-WA/GALUP/issues,147,16
/SERVIR-WA/GALUP,116,33
/SERVIR-WA/GALUP/blob/master/training/2_rs/module4.md,103,46
/SERVIR-WA/GALUP/blob/master/training/2_rs/Exercises/M4_Exercise1.md,67,22
/SERVIR-WA/GALUP/issues/new,45,14
/SERVIR-WA/GALUP/wiki/Scripts,33,16
/SERVIR-WA/GALUP/blob/master/training/2_rs/module3.md,33,15
/SERVIR-WA/GALUP/blob/master/training/2_rs/module2.md,28,11
/SERVIR-WA/GALUP/blob/master/training/2_rs/module1.md,23,10
/SERVIR-WA/GALUP/discussions,22,8
